timestamp,board_id,temperature,light,fan_speed,humidity,status
2025-07-21T22:45:35.505216,1,19.32,1725,1298,64.68,0
2025-07-21T22:45:35.505378,1,19.32,1725,1298,64.68,0
2025-07-21T22:45:35.941938,1,19.32,1724,1298,64.68,0
2025-07-21T22:45:35.942092,1,19.32,1724,1298,64.68,0
2025-07-21T22:45:36.528552,1,19.32,1724,1298,64.68,0
2025-07-21T22:45:36.528725,1,19.32,1724,1298,64.68,0
2025-07-21T22:45:37.015102,1,19.32,1725,1298,64.67,0
2025-07-21T22:45:37.015255,1,19.32,1725,1298,64.67,0
2025-07-21T22:45:37.455337,1,19.32,1725,1298,64.67,0
2025-07-21T22:45:37.455494,1,19.32,1725,1298,64.67,0
2025-07-21T22:45:37.941874,1,19.23,1725,1298,64.56,0
2025-07-21T22:45:37.942007,1,19.23,1725,1298,64.56,0
2025-07-21T22:45:38.481733,1,19.23,1725,1298,64.56,0
2025-07-21T22:45:38.481902,1,19.23,1725,1298,64.56,0
2025-07-21T22:45:38.965188,1,19.38,1725,1298,64.58,0
2025-07-21T22:45:38.965343,1,19.38,1725,1298,64.58,0
2025-07-21T22:45:39.451702,1,19.38,1725,1298,64.58,0
2025-07-21T22:45:39.451830,1,19.38,1725,1298,64.58,0
2025-07-21T22:45:39.941761,1,19.29,1724,1298,64.6,0
2025-07-21T22:45:39.941936,1,19.29,1724,1298,64.6,0
2025-07-21T22:45:40.475188,1,19.29,1724,1298,64.6,0
2025-07-21T22:45:40.475324,1,19.29,1724,1298,64.6,0
2025-07-21T22:45:41.011829,1,19.39,1723,1298,64.55,0
2025-07-21T22:45:41.011974,1,19.39,1723,1298,64.55,0
2025-07-21T22:45:41.451774,1,19.39,1723,1298,64.55,0
2025-07-21T22:45:41.451911,1,19.39,1723,1298,64.55,0
2025-07-21T22:45:41.938483,1,19.33,1724,1298,64.64,0
2025-07-21T22:45:41.938634,1,19.33,1724,1298,64.64,0
2025-07-21T22:45:42.475166,1,19.33,1724,1298,64.64,0
2025-07-21T22:45:42.475299,1,19.33,1724,1298,64.64,0
2025-07-21T22:45:42.961857,1,19.3,1723,1298,64.57,0
2025-07-21T22:45:42.962009,1,19.3,1723,1298,64.57,0
2025-07-21T22:45:43.451888,1,19.3,1723,1298,64.57,0
2025-07-21T22:45:43.452027,1,19.3,1723,1298,64.57,0
2025-07-21T22:45:43.988555,1,19.38,1724,1298,64.57,0
2025-07-21T22:45:43.988707,1,19.38,1724,1298,64.57,0
